일련번호,조사서번호,사망자수,부상자수,인명피해수,재산피해금액,상급기관명,소방서명,서센터명,소방지역대명,화재발생일자,화재발생시간,접수일자,접수시각,위치정보X,위치정보Y,출동일자,출동시각,현장도착일자,현장도착시각,초진일자,초진시각,완진일자,완진시간,귀소일자,귀소시각,출동소요시간,화재진압시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,시도명,시군구명,읍면동명,읍면동구분명,번지,도로명,시설장소대분류명,시설장소중분류명,시설장소소분류명,화재유형명,발화지점,발화원인,발화열원명,발화요인소분류명,발화요인대분류명,발화열원소분류명,최초착화물대분류명,최초착화물소분류명,연소확대물대분류명,연소확대물소분류명,발생원인,전체인력수합계,동원소방력수,동원의용소방력수,동원경찰수,동원일반직수,동원군인수,동원전기가스유관기관수,기타동원명수,동원장비수,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용
1,1.10123E+14,0,0,0,0,강원소방본부,강릉소방서,경포119안전센터,,20110122,233500,20110122,233511,,,20110122,233615,20110122,235315,20110123,121115,20110123,1115,20110123,20515,1700,1800,9,9,0,강원도,강릉시,죽헌동,,108-41,,임야,산불,사유림,임야,산정상,기타,담뱃불/라이터불,라이터불/성냥불,방화의심,방화의심,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,나무,원거리소방서/현장진입지연(불법주차)/화재인지/신고지연,37,19,0,0,18,0,0,0,8,맑음,-1,30,45,8,
2,1.10201E+14,0,0,0,184330,강원소방본부,양양소방서,하조대119안전센터,,20110131,181300,20110131,181311,,,20110131,181409,20110131,183024,20110201,94538,20110201,103016,20110201,114552,1615,155952,43,13,0,강원도,양양군,현남면,상월천리,289,,임야,산불,사유림,임야,산아래,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,기타,기타,기상(건조/강풍등),1872,270,335,10,700,0,8,549,71,맑음,1,10,225,8,건조경보
3,1.10202E+14,0,0,0,0,강원소방본부,강릉소방서,경포119안전센터,,20110201,210700,20110201,210710,,,20110201,210826,20110201,211500,20110201,102300,20110201,223800,20110201,233000,634,12300,7,6,0,강원도,강릉시,대전동,,147-3,,임야,산불,사유림,임야,산정상,기타,기타,기타,방화의심,방화의심,종이/목재/건초등,잔디,,,,184,17,7,50,110,0,0,0,15,맑음,1,550,135,4,
4,1.10211E+14,0,0,0,4864,강원소방본부,홍천소방서,서석119안전센터,내촌119지역대,20110211,175000,20110211,175032,,,20110211,175220,20110211,181500,20110211,74100,20110211,202000,20110211,214955,2240,20500,37,37,7,강원도,홍천군,내촌면,물걸리,5,,임야,산불,국유림,임야,산중턱,입산자실화,기타,기타,기타,기타,종이/목재/건초등,풀/나뭇잎,,,,171,8,87,10,33,0,33,0,9,구름많음,-2,29,225,4,
5,1.10212E+14,0,0,0,50,강원소방본부,원주소방서,흥업119안전센터,귀래119지역대,20110212,61800,20110212,61836,,,20110212,62010,20110212,64029,20110212,82038,20110212,103038,20110212,111838,2019,35009,20,20,8,강원도,원주시,귀래면,귀래리,1894-3,,임야,산불,사유림,임야,산중턱,모닥불,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,화재인지/신고지연,94,11,26,4,0,0,38,15,9,구름많음,-6,44,225,4,
6,1.10226E+14,0,0,0,440,강원소방본부,원주소방서,태장119안전센터,,20110226,164200,20110226,164234,,,20110226,164353,20110226,164901,20110226,52601,20110226,172726,20110226,183011,508,3825,8,2,0,강원도,원주시,태장동,,363-33,,임야,산불,사유림,임야,산정상,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),46,10,0,0,0,0,36,0,8,맑음,14,23,180,4,
7,1.10309E+14,0,0,0,600,강원소방본부,영월소방서,영월119안전센터,,20110309,131800,20110309,131855,,,20110309,131916,20110309,132916,20110309,50016,20110309,200016,20110310,83947,1000,63100,9,9,8,강원도,영월군,영월읍,정양리,,,임야,산불,국유림,임야,산아래,기타,불꽃/불티,불꽃/불티,부주의,부주의,침구/직물류,침구/직물류,,,,204,17,41,5,45,0,67,29,26,맑음,1,19,225,8,
8,1.10311E+14,0,0,0,0,강원소방본부,횡성소방서,우천119안전센터,,20110311,134200,20110311,134249,,,20110311,134334,20110311,140409,20110311,21746,20110311,151737,20110311,162000,2035,11328,17,10,0,강원도,횡성군,우천면,정금리,21,,임야,산불,사유림,임야,산정상,입산자실화,미상,미상,부주의,부주의,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,나무,가연성물질의급격한연소/기상(건조/강풍등)/원거리소방서,214,10,15,5,110,0,0,74,10,맑음,5,43,225,4,
9,1.10315E+14,0,0,0,64,강원소방본부,영월소방서,영월119안전센터,,20110314,193500,20110314,193519,,,20110314,193540,20110314,195222,20110314,90022,20110314,230622,20110314,234022,1642,31400,9,9,7,강원도,영월군,영월읍,정양리,80,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,미상,미상,,,,116,11,33,4,68,0,0,0,5,맑음,4,67,45,4,
10,1.10318E+14,0,0,0,3264,강원소방본부,홍천소방서,홍천119안전센터,,20110318,115800,20110318,115807,,,20110318,115900,20110318,120327,20110318,123300,20110318,124800,20110318,134453,427,4433,6,6,0,강원도,홍천군,홍천읍,연봉리,,,임야,산불,사유림,임야,산정상,입산자실화,기타,기타,기타,기타,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,가연성물질의급격한연소,88,16,21,4,22,0,10,15,15,맑음,9,21,315,4,
11,1.10324E+14,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20110324,125600,20110324,125625,,,20110324,125721,20110324,130321,20110324,15021,20110324,135021,20110324,152021,600,4700,46,6,0,강원도,화천군,화천읍,풍산리,산240,,임야,산불,사유림,임야,산아래,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,논/임야태우기,종이/목재/건초등,풀/나뭇잎,,,,102,4,12,2,30,0,10,44,8,맑음,4,47,90,8,
12,1.10401E+14,0,0,0,0,강원소방본부,정선소방서,조양119안전센터,,20110401,105200,20110401,105215,,,20110401,105300,20110401,110300,20110401,122020,20110401,133000,20110401,145000,1000,22700,8,8,12,강원도,정선군,정선읍,신월2리,산18,,임야,산불,사유림,임야,산아래,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,불씨/불꽃/화원방치,기타,기타,,,,160,7,33,10,20,0,70,20,19,맑음,14,24,315,4,
13,1.10405E+14,0,0,0,1485,강원소방본부,춘천소방서,강촌119안전센터,,20110405,110400,20110405,110414,,,20110405,110536,20110405,112736,20110405,120036,20110405,120036,20110405,133036,2200,3300,40,25,0,강원도,춘천시,남면,관천리,47,,임야,산불,사유림,임야,산중턱,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,67,7,30,4,24,0,2,0,3,맑음,16,47,225,4,
14,1.10406E+14,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20110406,144100,20110406,144134,,,20110406,144257,20110406,144557,20110406,24857,20110406,155057,20110406,163257,300,10500,13,2,0,강원도,철원군,철원읍,화지리,52,,임야,산불,사유림,임야,산아래,성묘객,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,건초,종이/목재/건초등,건초,가연성물질의급격한연소/기상(건조/강풍등),294,14,20,8,50,190,12,0,11,맑음,13,41,90,8,
15,1.10406E+14,0,0,0,0,강원소방본부,강릉소방서,내곡119안전센터,,20110406,162300,20110406,162315,,,20110406,162400,20110406,164400,20110406,45500,20110406,170000,20110406,175000,2000,1600,18,17,0,강원도,강릉시,왕산면,도마리,456-1,,임야,산불,사유림,임야,산정상,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,160,15,15,10,50,0,50,20,20,맑음,17,13,270,4,건조주의보
16,1.10409E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20110409,123000,20110409,123036,,,20110409,123138,20110409,124438,20110409,10128,20110409,130401,20110409,134421,1300,1923,50,15,0,강원도,양구군,동면,덕곡리,산44-2,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,미상,미상,,,,68,6,10,2,20,0,30,0,5,맑음,19,14,270,17,
17,1.10409E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20110409,125200,20110409,125248,,,20110409,125348,20110409,130007,20110409,14000,20110409,140000,20110409,143000,619,5953,48,17,7,강원도,양구군,남면,창리,산29,,임야,산불,사유림,임야,산아래,성묘객,담뱃불/라이터불,라이터불/성냥불,기타,기타,쓰레기류,기타쓰레기,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),94,3,10,2,35,0,43,1,3,맑음,18,16,270,17,
18,1.1041E+14,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20110410,121300,20110410,121316,,,20110410,121343,20110410,122343,20110410,125714,20110410,125714,20110410,140043,1000,3331,45,10,0,강원도,화천군,하남면,원천리,산351-1,,임야,산불,사유림,임야,산아래,건물,불꽃/불티,굴뚝아궁이,부주의,불씨/불꽃/화원방치,종이/목재/건초등,종이/목재/건초등,,,,63,8,21,0,10,0,2,22,7,구름많음,18,28,270,17,
19,1.10413E+14,0,0,0,6982,강원소방본부,양양소방서,양양119안전센터,,20110413,153200,20110413,153237,,,20110413,153728,20110413,163029,20110413,45819,20110413,175000,20110413,183000,5301,11931,24,7,0,강원도,양양군,손양면,삽존리,57,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,936,25,75,80,320,221,0,215,17,맑음,23,11,225,8,건조주의보
20,1.10413E+14,0,0,0,0,강원소방본부,삼척소방서,도계119안전센터,,20110413,155500,20110413,155538,,,20110413,155641,20110413,160641,20110413,44541,20110413,171041,20110413,190041,1000,10400,27,9,0,강원도,삼척시,도계읍,고사리,,,임야,산불,사유림,임야,산중턱,입산자실화,담뱃불/라이터불,라이터불/성냥불,부주의,불장난,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),209,12,39,7,62,0,89,0,18,맑음,21,15,270,4,
21,1.10413E+14,0,0,0,0,강원소방본부,영월소방서,주천119안전센터,,20110413,164700,20110413,164719,,,20110413,164740,20110413,172245,20110413,53045,20110413,175045,20110413,194545,3505,2800,44,18,0,강원도,영월군,수주면,운학리,1683-2,,임야,산불,사유림,임야,산중턱,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,174,10,47,5,30,0,82,0,18,맑음,13,36,315,4,
22,1.10414E+14,0,0,0,99,강원소방본부,춘천소방서,석사119안전센터,,20110413,234000,20110413,234046,,,20110413,234138,20110413,235538,20110414,124038,20110414,4038,20110414,31038,1400,4500,10,8,0,강원도,춘천시,신동면,증리,107-28,,임야,산불,사유림,임야,산중턱,미상,미상,미상,미상,미상,미상,미상,,,,111,9,20,2,40,0,0,40,3,맑음,5,59,180,4,
23,1.10416E+14,0,0,0,0,강원소방본부,춘천소방서,강촌119안전센터,,20110416,181400,20110416,181413,,,20110416,181558,20110416,182800,20110416,63000,20110416,183000,20110416,212100,1202,200,30,13,0,강원도,춘천시,남산면,강촌리,,,임야,산불,사유림,임야,산정상,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,건초,,,,72,7,15,0,20,0,0,30,6,맑음,11,39,0,4,건조주의보
24,1.10417E+14,0,0,0,115,강원소방본부,인제소방서,인제119안전센터,남면119지역대,20110417,123500,20110417,123520,,,20110417,124130,20110417,124510,20110417,15015,20110417,142000,20110417,163020,340,13450,47,27,12,강원도,인제군,남면,신월리,산36,,임야,산불,사유림,임야,산중턱,미상,기타,기타,부주의,부주의,기타,기타,종이/목재/건초등,풀/나뭇잎,가연성물질의급격한연소/기상(건조/강풍등),198,10,25,10,50,0,53,50,7,맑음,11,58,135,,
25,1.10417E+14,0,1,1,0,강원소방본부,횡성소방서,둔내119안전센터,,20110417,142200,20110417,142209,,,20110417,142248,20110417,143245,20110417,30830,20110417,150837,20110417,161229,957,3552,24,24,6,강원도,횡성군,청일면,고시리,산12,,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,기상(건조/강풍등),154,10,41,3,0,0,80,20,10,맑음,18,22,225,4,
26,1.1042E+14,0,0,0,0,강원소방본부,횡성소방서,둔내119안전센터,청일지역대,20110420,141200,20110420,141240,,,20110420,141402,20110420,142719,20110420,22910,20110420,155300,20110420,171028,1317,12541,30,21,11,강원도,횡성군,청일면,춘당리,19,,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,173,10,42,3,73,0,0,45,14,맑음,17,30,225,8,
27,1.10514E+14,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20110514,141800,20110514,141802,,,20110514,141815,20110514,142200,20110514,24600,20110514,151100,20110514,161000,345,4900,15,4,0,강원도,철원군,동송읍,오지리,1113-17,,임야,산불,사유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,54,16,0,3,35,0,0,0,6,맑음,23,0,0,,
28,1.10608E+14,0,0,0,0,강원소방본부,삼척소방서,도계119안전센터,하장119지역대,20110608,132200,20110608,132257,,,20110608,132441,20110608,133541,20110608,31041,20110608,153141,20110608,161741,1100,15600,32,32,12,강원도,삼척시,하장면,번천리,5,,임야,산불,국유림,임야,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,48,9,0,4,4,0,11,20,7,맑음,27,31,315,4,
29,1.10608E+14,0,0,0,0,강원소방본부,양양소방서,양양119안전센터,,20110608,174200,20110608,174243,,,20110608,174332,20110608,180232,20110608,60532,20110608,182532,20110608,184032,1900,2300,14,13,0,강원도,양양군,강현면,,,,임야,산불,사유림,임야,평지,기타,담뱃불/라이터불,라이터불/성냥불,부주의,논/임야태우기,종이/목재/건초등,풀/나뭇잎,,,,15,15,0,0,0,0,0,0,5,구름많음,20,54,135,4,
30,1.10612E+14,0,0,0,0,강원소방본부,삼척소방서,봉황119안전센터,,20110612,142300,20110612,142351,,,20110612,142543,20110612,150024,20110612,50024,20110612,183024,20110612,205024,3441,33000,13,13,0,강원도,삼척시,마평동,,,,임야,산불,사유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,종이/목재/건초등,건초,가연성물질의급격한연소/현장진입지연(불법주차)/화재인지/신고지연,53,8,8,3,24,0,10,0,57,맑음,19,75,0,4,
31,1.10615E+14,0,0,0,0,강원소방본부,춘천소방서,석사119안전센터,동산119지역대,20110615,122100,20110615,122153,,,20110615,122453,20110615,122853,20110615,125053,20110615,130053,20110615,164053,400,3200,25,20,5,강원도,춘천시,동산면,봉명리,46,,임야,산불,공유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,,,,68,5,34,0,17,0,0,12,7,맑음,31,29,315,4,
32,1.1062E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20110620,190000,20110620,190026,,,20110620,190140,20110620,192052,20110620,83005,20110620,204005,20110620,214500,1912,11913,50,10,15,강원도,양구군,남면,대월리,산95-1,,임야,산불,국유림,임야,산중턱,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,28,3,0,2,5,15,3,0,4,맑음,23,70,135,4,
33,1.11007E+14,0,0,0,79,강원소방본부,춘천소방서,화천119안전센터,,20111006,181300,20111006,181356,,,20111006,181510,20111006,183610,20111006,72010,20111006,192010,20111007,90010,2100,4400,57,21,41,강원도,화천군,화천읍,동촌리,산222,,임야,산불,사유림,임야,산정상,담뱃불,미상,미상,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,70,5,36,4,12,0,0,13,3,맑음,18,34,225,4,
34,1.11007E+14,0,0,0,1373,강원소방본부,홍천소방서,양덕원119안전센터,,20111007,143600,20111007,143620,,,20111007,143802,20111007,145029,20111007,40809,20111007,162831,20111007,163808,1227,13802,18,18,0,강원도,홍천군,남면,시동리,109-1,,임야,산불,공유림,임야,산정상,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,58,11,10,5,20,10,2,0,6,맑음,21,31,225,,
35,1.11008E+14,0,0,0,0,강원소방본부,홍천소방서,양덕원119안전센터,,20111008,125500,20111008,125536,,,20111008,125600,20111008,130223,20111008,22503,20111008,145400,20111008,165546,623,15137,18,18,0,강원도,홍천군,남면,시동리,109-1,,임야,산불,공유림,임야,산정상,기타,불꽃/불티,불꽃/불티,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,59,9,5,2,29,0,4,10,7,맑음,20,34,315,4,
36,1.11013E+14,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20111013,145400,20111013,145450,,,20111013,145735,20111013,151700,20111013,35000,20111013,155000,20111013,185900,1925,3300,20,20,0,강원도,춘천시,사북면,고성리,105,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,,,,34,9,10,0,15,0,0,0,5,맑음,16,79,0,4,
37,1.11017E+14,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,,20111017,144100,20111017,144118,,,20111017,144558,20111017,150358,20111017,43058,20111017,163058,20111017,170058,1800,12700,73,17,0,강원도,인제군,인제읍,가아리,1-40,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,44,7,0,0,17,0,0,20,6,맑음,14,19,180,4,
38,1.11027E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20111027,74700,20111027,74710,,,20111027,74836,20111027,75309,20111027,83557,20111027,84032,20111027,93952,433,4723,44,5,5,강원도,양구군,남면,대월리,,,임야,산불,국유림,임야,산중턱,군경사격장,폭발물/폭죽,폭탄/탄약,부주의,부주의,종이/목재/건초등,풀/나뭇잎,,,,45,8,0,0,3,30,4,0,4,맑음,8,30,90,4,
39,1.11028E+14,0,0,0,0,강원소방본부,철원소방서,태봉119안전센터,군탄119지역대,20111028,122700,20111028,122700,,,20111028,122743,20111028,123943,20111028,24243,20111028,152043,20111028,170443,1200,24100,16,16,8,강원도,철원군,갈말읍,신철원4리,,,임야,산불,국유림,임야,산중턱,군경사격장,폭발물/폭죽,폭탄/탄약,기타,기타,종이/목재/건초등,풀/나뭇잎,,,,217,7,0,0,10,200,0,0,8,맑음,15,60,45,4,
40,1.11031E+14,0,0,0,0,강원소방본부,철원소방서,김화119안전센터,,20111031,141100,20111031,141104,,,20111031,141211,20111031,144930,20111031,25010,20111031,145310,20111031,160027,3719,340,28,15,0,강원도,철원군,근남면,마현리,203,,임야,산불,국유림,임야,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,,,,45,10,0,0,0,30,5,0,9,맑음,18,42,270,4,
41,1.11101E+14,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20111101,151900,20111101,151925,,,20111101,152318,20111101,155255,20111101,45522,20111101,165555,20111102,130244,2937,10300,57,22,0,강원도,화천군,화천읍,동촌리,224,,임야,산불,사유림,임야,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,기타,기타,종이/목재/건초등,풀/나뭇잎,기타,299,6,38,7,162,0,20,66,12,구름조금,14,63,135,4,
42,1.11101E+14,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20111101,195200,20111101,195243,,,20111101,195351,20111101,200750,20111101,80820,20111101,200851,20111101,202115,1359,101,55,5,9,강원도,양구군,남면,,102-2,,임야,산불,국유림,임야,산중턱,군경사격장,폭발물/폭죽,폭탄/탄약,부주의,부주의,종이/목재/건초등,풀/나뭇잎,,,,14,4,0,0,0,10,0,0,2,맑음,0,0,0,4,
43,1.11115E+14,0,0,0,0,강원소방본부,고성소방서,동광119안전센터,,20111115,100000,20111115,100036,,,20111115,100051,20111115,101251,20111115,103051,20111115,110551,20111115,113751,1200,5300,23,13,0,강원도,고성군,죽왕면,,,,임야,산불,국유림,임야,산정상,군경사격장,폭발물/폭죽,폭탄/탄약,화학적요인,화학적폭발,종이/목재/건초등,풀/나뭇잎,,,,57,12,0,5,0,20,20,0,11,맑음,10,23,315,4,
44,1.11115E+14,0,0,0,0,강원소방본부,양양소방서,양양119안전센터,,20111115,153400,20111115,153432,,,20111115,153445,20111115,153920,20111115,34220,20111115,155020,20111115,165920,435,1100,20,7,0,강원도,양양군,양양읍,감곡리,99,,임야,산불,사유림,임야,산중턱,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,76,15,0,1,55,0,5,0,12,맑음,11,32,0,,
45,1.11121E+14,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,,20111120,213000,20111120,213022,,,20111120,213144,20111120,213945,20111121,124310,20111121,15032,20111121,23015,801,41047,72,12,0,강원도,인제군,인제읍,남북리,,,임야,산불,국유림,임야,산아래,입산자실화,미상,미상,미상,미상,종이/목재/건초등,종이/목재/건초등,,,,85,8,35,0,18,0,18,6,5,맑음,-1,29,180,4,
46,1.11129E+14,0,0,0,0,강원소방본부,원주소방서,태장119안전센터,,20111129,160200,20111129,160250,,,20111129,160613,20111129,163310,20111129,44030,20111129,165131,20111129,175025,2657,1821,15,6,0,강원도,원주시,소초면,장양리,101-2,,임야,산불,공유림,임야,산정상,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,,,,65,7,0,0,12,0,0,46,8,구름많음,13,77,45,4,
47,1.11208E+14,0,0,0,0,강원소방본부,강릉소방서,옥계119안전센터,,20111208,104900,20111208,104926,,,20111208,105000,20111208,110100,20111208,113000,20111208,113800,20111208,123500,1100,3700,26,8,6,강원도,강릉시,강동면,심곡리,1-72,,임야,산불,국유림,임야,산아래,군경사격장,폭발물/폭죽,폭탄/탄약,부주의,부주의,종이/목재/건초등,풀/나뭇잎,,,,212,17,0,5,30,150,10,0,13,맑음,8,28,315,4,
48,1.11214E+14,0,0,0,0,강원소방본부,춘천소방서,강촌119안전센터,,20111214,141800,20111214,141819,,,20111214,141940,20111214,143517,20111214,23517,20111214,143517,20111214,153712,1537,0,20,6,0,강원도,춘천시,남산면,강촌리,607-1,,임야,산불,사유림,임야,산아래,기타,불꽃/불티,굴뚝아궁이,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,39,9,10,0,15,0,0,5,7,흐림,2,61,45,4,
49,1.11225E+14,0,0,0,0,강원소방본부,속초소방서,노학119안전센터,,20111224,230600,20111224,230621,,,20111224,230625,20111224,231004,20111224,111504,20111224,232604,20111225,12704,339,1600,4,4,0,강원도,속초시,영랑동,,,,임야,산불,공유림,임야,산정상,입산자실화,폭발물/폭죽,폭죽,부주의,폭죽놀이,종이/목재/건초등,건초,,,,15,9,0,2,0,0,0,4,4,맑음,-6,27,225,8,
50,1.11227E+14,0,0,0,0,강원소방본부,고성소방서,간성119안전센터,,20111227,140900,20111227,140950,,,20111227,140955,20111227,141714,20111227,23214,20111227,145814,20111227,161014,719,4100,49,13,0,강원도,고성군,간성읍,장신리,140,,임야,산불,국유림,임야,산정상,군경사격장,폭발물/폭죽,폭탄/탄약,화학적요인,화학적폭발,종이/목재/건초등,건초,,,,108,15,0,6,12,60,15,0,11,맑음,0,0,0,,
51,1.11228E+14,0,0,0,4209,강원소방본부,홍천소방서,홍천119안전센터,,20111228,20200,20111228,20231,,,20111228,20611,20111228,21313,20111228,83039,20111228,103038,20111228,121707,702,81725,8,8,0,강원도,홍천군,홍천읍,장전평리,202-2,,임야,산불,국유림,임야,산정상,입산자실화,기타,기타,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기타,111,12,18,21,10,0,50,0,13,맑음,-10,73,45,4,
52,1.11231E+14,0,0,0,0,강원소방본부,원주소방서,단구119안전센터,,20111231,163600,20111231,163626,,,20111231,163758,20111231,164310,20111231,64322,20111231,200022,20111231,211022,512,31712,6,4,0,강원도,원주시,행구동,,105,,임야,산불,국유림,임야,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,잔디,,,,68,9,10,5,22,0,22,0,3,맑음,-6,40,0,,
1,1.20111E+14,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20120111,113700,20120111,113748,,,20120111,113904,20120111,114912,20120111,115657,20120111,123609,20120111,130753,1008,4657,11,11,6,강원도,홍천군,동면,월운리,16,,임야,산불,국유림,임야,산아래,담뱃불,담뱃불/라이터불,담뱃불,부주의,부주의,기타,기타,,,,475,10,15,5,15,400,30,0,12,맑음,-3,39,270,4,
2,1.20111E+14,0,0,0,2176,강원소방본부,홍천소방서,홍천119안전센터,,20120111,150600,20120111,150629,,,20120111,150743,20120111,151251,20120111,34851,20120111,165051,20120111,172151,508,13800,6,6,0,강원도,홍천군,홍천읍,하오안리,산30-2,,임야,산불,국유림,임야,산정상,입산자실화,담뱃불/라이터불,라이터불/성냥불,부주의,부주의,기타,기타,,,,72,10,27,10,0,0,20,5,14,맑음,-1,22,315,4,
3,1.20113E+14,0,0,0,0,강원소방본부,강릉소방서,주문진119안전센터,,20120113,120000,20120113,120052,,,20120113,120200,20120113,120600,20120113,121400,20120113,121700,20120113,130500,400,1100,18,3,0,강원도,강릉시,주문진읍,교항리,244-29,아래사다리길20,임야,산불,사유림,임야,산아래,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,32,12,0,0,20,0,0,0,6,맑음,5,37,225,4,건조주의보
4,1.20116E+14,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,화촌119지역대,20120116,120900,20120116,120921,,,20120116,120956,20120116,121320,20120116,122738,20120116,123933,20120116,134923,324,2613,13,13,1,강원도,홍천군,화촌면,성산리,252-1,,임야,산불,국유림,임야,산아래,입산자실화,담뱃불/라이터불,라이터불/성냥불,부주의,부주의,기타,기타,,,,65,10,15,5,20,5,0,10,22,맑음,0,0,,,
5,1.20124E+14,0,0,0,78,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20120124,111500,20120124,111536,,,20120124,111645,20120124,113355,20120124,114249,20120124,114249,20120124,121835,1710,854,57,15,10,강원도,양구군,남면,원리,,삼팔선로689-33,임야,산불,국유림,임야,산아래,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,풀/나뭇잎,,,,33,5,24,2,2,0,0,0,2,맑음,-6,23,225,4,
6,1.20127E+14,0,0,0,0,강원소방본부,강릉소방서,경포119안전센터,,20120126,235600,20120126,235615,,,20120126,235741,20120127,10000,20120127,122500,20120127,3000,20120127,10900,1219,2000,12,10,0,강원도,강릉시,사천면,방동리,,방동안길12,임야,산불,사유림,임야,산중턱,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,30,15,0,4,9,0,2,0,11,맑음,-4,56,180,4,건조주의보
